repeat,mse_OLS,mse_Huber,mse_rho,mae_OLS,mae_Huber,mae_rho
47,0.05852508829978485,0.016979016078861472,0.0426222702889567,0.17894531354063586,0.09051846647752869,0.1540894887753538
48,0.06407615871938427,0.016506086969396094,0.058514370218377465,0.19393107391021433,0.0874261220160616,0.17911474461150304
49,0.09119183359693511,0.04780290010443443,0.08008420158560882,0.21001466955449052,0.10151206605229762,0.19167177226546073
50,0.08120737967445144,0.051623386492020834,0.08589861676099353,0.18225316061864888,0.10364337505309591,0.18156341775342982
51,0.06217795857587473,0.021598279849028578,0.05305049521831941,0.18253969030508765,0.09846176049994915,0.16557207675618885
52,0.05248770910174104,0.021477235307557914,0.03947253022401987,0.17290313077219557,0.09421282173603227,0.1458460579718595
53,0.04938159610163925,0.016937147284638857,0.04763134508615108,0.1697624486889248,0.09086456728471735,0.15364917804994488
54,0.04401052801526041,0.017221496461095442,0.03813117259492503,0.15170206365546846,0.094300049568475,0.14039815453664353
55,0.06037083243397774,0.01543642923900197,0.059558878771443134,0.18039301141284217,0.0904170698534704,0.17196738489504979
56,0.0804917370140769,0.01823433891914171,0.07014468043821186,0.20571388286461612,0.09554539390435847,0.17912697325438337
57,0.07212711775345401,0.01720801221433389,0.062265947336140895,0.20560373603830437,0.09101470349935593,0.1896449909038403
58,0.05929346892095403,0.0245046811943242,0.05327107501209943,0.18081294490729713,0.08933522218542979,0.16341864603115197
59,0.08158233402897984,0.015014000425330937,0.06139425632736967,0.21133688821224644,0.0873156851329255,0.18009743296428443
60,0.05730834036450425,0.044322676580557836,0.05903573946252927,0.15283550130997234,0.09061632891065019,0.1489473876014893
61,0.05875384177858162,0.019086844187052802,0.04968316222603759,0.17798839942408376,0.09228408122883609,0.15943253905963173
62,0.10057336195482817,0.04989526878718103,0.07822690149634448,0.21417379116215837,0.0974033451890435,0.17566992811880774
63,0.04934290797364052,0.014133509698069488,0.04284820938536283,0.17429507451573234,0.08641814047450744,0.1610074918471298
64,0.07757130790890847,0.028942404467495828,0.0659705979910918,0.21129991059361744,0.09994133378679161,0.1898252590246553
65,0.10870194805393653,0.028275453929046294,0.1396180827580577,0.20189962185794552,0.10319587635963197,0.19856181328052763
66,0.06021388919653689,0.027892930810112054,0.03964816825647544,0.15711589523990963,0.09495305632556397,0.12254935462537689
67,0.1112586816457418,0.0524490631943634,0.11379500142878608,0.2044988155041576,0.10884675173878249,0.18838706675703745
68,0.05760749043650984,0.017424391387595127,0.04828232796248158,0.17270771821696787,0.09014791608206688,0.1544667358179891
69,0.06452660469555713,0.01667977201916359,0.0628657636464728,0.18944769319674148,0.09216569102892036,0.17037999678892182
70,0.08447218964582814,0.02802383938346071,0.05294781564672319,0.20878585479994102,0.09640096484817329,0.16718204358120783
71,0.05946115709841336,0.014431398986341722,0.042672418352317554,0.1853817825660649,0.08861114351856196,0.1568250444782927
72,0.08240626541586919,0.049722970279611034,0.08148518626905321,0.15819950397631632,0.09730669426813736,0.1622253291018863
73,0.06638392923069114,0.022621662987720073,0.06002736109137517,0.19081562437519947,0.09846482522773523,0.17651045406522015
74,0.07565011363219437,0.04404364332891448,0.05359123868260675,0.1722315039736304,0.08554599226127156,0.1352249345430066
75,0.03377283983605808,0.01595417493127839,0.02707622296648416,0.1405787672241844,0.09019200525373319,0.11786621272377086
76,0.06921822594253026,0.044876939442239194,0.06380792090087635,0.19263055113282218,0.09849356813251472,0.1593748886156814
77,0.09162713444259148,0.017230403199534533,0.07739965835619025,0.2130934171348904,0.09170475535962949,0.1805866505776888
78,0.09520783210643663,0.05320786659681073,0.09909131128349911,0.21593962032578487,0.1085586811282231,0.1992458922866809
79,0.048231090299567514,0.01794075311347792,0.03563057002095283,0.16688460101879432,0.09121022394214728,0.14383464758791162
80,0.05682197093240601,0.019240045207248955,0.0453484720295963,0.18072673531728206,0.09667160208603093,0.15887289168390525
81,0.05464304015801608,0.01809101312372097,0.053034765339250174,0.17533241957254042,0.09120577525581555,0.1724909216401427
82,0.06278425055097314,0.04237012830068088,0.06422468370271113,0.1622047071302416,0.09420153868104715,0.15771496592144618
83,0.05982030499160598,0.019301647046801332,0.045125621403778106,0.18389769426435407,0.0927293408437989,0.15962871133564996
84,0.05086400777144365,0.01585647843276879,0.032880529669881496,0.16780414121579382,0.09196029528158293,0.13380972941865996
85,0.04673451088527454,0.01654540957553765,0.039277510251392415,0.1678882451885128,0.08941026795909943,0.14929838335184278
86,0.09950217582224616,0.05979626175015734,0.10461292538763506,0.20952222626015807,0.10802015678976667,0.18263427418275816
87,0.06689076353340356,0.01821556471375517,0.050961601087071484,0.18299135766968505,0.09001315543074417,0.15494440485918728
88,0.04635216266118159,0.0188821565294932,0.03734050769418526,0.1657540896139011,0.09634177070479077,0.14530588963714614
89,0.04730778468846732,0.014744175379058073,0.04533428458941254,0.16671186006892333,0.085892264644617,0.15791228394245604
90,0.04967453604860586,0.01657398439341086,0.03501118821960374,0.17030925273580935,0.09026561815133774,0.14049948943706128
91,0.07075581239272587,0.017964112130453885,0.056055144009400946,0.21042432532702401,0.09415074436455002,0.18957117335741536
