repeat,mse_OLS,mse_Huber,mse_rho,mae_OLS,mae_Huber,mae_rho
116,4.97769432908567,4.981497368050032,63.10696792190931,1.6190292858407425,1.5706145004672665,7.365712883914429
117,5.022241279469979,4.92793530858986,60.04678307882807,1.573484085689167,1.4970893512875405,7.236553782102419
118,4.520553654374579,4.743975952026256,62.50425444241899,1.5465566486688953,1.4975243801525078,7.340457531319377
119,4.849400280369516,4.607189722543096,60.3968745453176,1.6008805157798118,1.4946944659558223,7.221854941082245
120,5.199462422317497,5.1265166582430055,62.893606688282354,1.661670189546173,1.6089652991734935,7.370831196696166
121,4.966379491289938,4.901363945518577,57.96611031801271,1.5497151164986043,1.5111301808861177,7.109304255198243
122,5.380044566478336,5.287916815459986,63.946334835008315,1.7352587475023171,1.6222095116772839,7.42053534368538
123,4.644627065551138,4.685975885460188,62.6071917675991,1.5803344699021737,1.5321227319543118,7.3548447880259324
124,4.729247406666838,4.59173980245577,59.881149886106684,1.5989807616965004,1.5075855334337382,7.236876785981164
125,5.672001638912942,5.296408371584626,60.96948101431323,1.6848183795485754,1.6011243214633515,7.278714145843165
126,5.106694801079705,4.287048809342908,60.565940251906646,1.7249656705723657,1.5045992247517581,7.134703083458431
127,4.930258790526458,4.815654876187544,62.02159466958262,1.6526992399985416,1.5505955615007196,7.29976853395762
128,5.46084554675884,5.450834062666506,63.86091441225933,1.5785106186128546,1.5468870678336204,7.401167063869345
129,8.193245976552912,5.328230612735907,60.44496122211586,1.7938595382432445,1.5448820380852524,7.232950833162312
130,4.9442017091108434,4.610456770786089,61.82938617268807,1.5962212514340612,1.5022703106716293,7.275938676516499
131,4.876596939515218,4.733964382741457,60.995137398346095,1.594887448407881,1.5044143494401216,7.268072569851115
132,5.841639915804571,5.544493218948484,63.29603034154806,1.649406391108443,1.5768848777028959,7.388526841733736
133,5.91205998002491,5.8968176450241,65.30580001048882,1.7285570377046275,1.6625566179047107,7.376910297817871
134,5.141938631918217,5.050005470211371,65.6157183568071,1.6568411535960297,1.5985581172254393,7.411767615673091
135,4.7089950699987515,4.659212601861343,58.80089743231894,1.544915898730428,1.498014368774183,7.162418138495292
136,6.157021317353477,5.557923614230618,61.55390707426861,1.7990558009632867,1.6506641387753693,7.319288820372497
137,5.4666409260123485,5.423726160662641,63.46809110766557,1.695133687749949,1.619038483789835,7.391314347072328
138,5.577864962845542,5.509923412668203,63.681478844854404,1.706413601178613,1.6074766413412647,7.400308456931081
139,5.233077330701092,5.329482297721752,65.4638915043647,1.6607556497941762,1.5895875943359468,7.477807028430635
140,4.833509073869998,4.551395879268997,59.62696240119616,1.5487352918046546,1.482145676944928,7.22243125106271
141,4.83075183369438,4.835742090288221,60.017778017383456,1.6434712285022206,1.5916845446383312,7.200898453198544
142,4.867209992338454,4.51548724378938,59.594760905096976,1.6114393946765702,1.4939259432686578,7.2153491922467605
143,5.309884792771705,4.949064344222362,61.31177246344874,1.7026996210825187,1.5422388776000142,7.251155353049074
144,4.539321117615022,4.463419693073847,60.571799192877286,1.5685762866275668,1.5017666046630727,7.232179175707949
145,4.794154555931061,4.730606028011598,64.85413777035637,1.6468863074706614,1.5717117489920474,7.361055654932995
146,5.003422704753065,4.890345569386463,60.89944323545005,1.632080683636695,1.567609266076981,7.175892737786872
147,5.358010508588525,5.254915840553882,61.628891190829684,1.6489563869763766,1.5903876524799656,7.2747015545690505
148,5.563390631910454,5.518606711293545,63.56425317535417,1.6761221390291523,1.615136422239471,7.377379490089715
149,5.499657259489342,5.1667854135106275,62.73624972599157,1.7211481389477745,1.5381894061372605,7.26942551887672
150,5.2562438661402595,5.130525208851072,61.77453700211426,1.6908335656497728,1.5969289330205645,7.230442953668188
151,4.935056107442948,4.6112993939275375,58.67963022002896,1.5751601151947632,1.4923874394055836,7.176924270217207
152,5.620938383232499,5.563893807166788,63.38210834519719,1.6992543043190755,1.6167493686868109,7.355427026595414
153,5.108214519137989,5.257312313663286,60.59705240189003,1.6189157748375012,1.5995253410941517,7.264104831379065
154,4.99058170733464,4.805684968682793,60.92012919948623,1.6603596234230298,1.5620294955812337,7.296675986336091
155,5.561093470434719,5.145078835922826,61.617978370546076,1.6829962921910293,1.555171558438549,7.3289513556960255
156,5.427373249071389,5.441182193182512,66.19254900288233,1.7160798105486141,1.6520965526391433,7.445848580736899
157,5.59108704616566,5.295562521919066,63.41016951654956,1.69470088025054,1.6164295508551656,7.366743342891731
158,5.504268989515768,5.4505728334723536,65.59131338840628,1.7291469580294478,1.638057824402603,7.382119376159111
159,5.463219089426551,4.852039679272351,63.217226571744426,1.6621139089486212,1.5382535889315512,7.39623801954554
160,4.853708152740333,4.667689811460416,61.12581715651146,1.6042622204412733,1.5288142448865645,7.2760796818934335
161,5.341562170642831,5.319148148153674,61.930219347517614,1.6580265825794058,1.58518178344213,7.339189700089081
